Channel,Creative Size,Clicks,Total Conversions,Post-Click Conversions,Post-View Conversions
DO NOT USE Mobile - MoPub - Online Communities,320x50,84,3,1,2
NYPR whitelist sx (Advertiser Level),320x50,0,3,0,3
mogo marks branding increased reach sx,250x250,6,24,0,24
mogo marks email sx,160x600,1365,3220,517,2703
mogo marks native sx xsl1045 class c,970x250,523,491,51,440
/All Apps/Apple App Store/News,320x50,887,37,19,18
/All Apps/Google Play/Games/Simulation,300x600,49,3,3,0
Pac Private Events/Wedding sx,320x50,18,72,5,67
mogo marks branding drhbx gold sx,300x250,2760,10996,947,10049
mogo marks xsl_74205 sx ,320x50,4648,6857,1332,5525
ttd finance sx,970x250,668,1421,290,1131
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,300x250,18903,61075,5032,56043
DO NOT USE Spanish Language Sites,728x90,19,45,9,36
education master sx,250x250,0,1,0,1
mogo marks kpi achievers sx,728x90,288,1321,93,1228
/All Apps/Google Play/Games/Word,970x250,1,1,1,0
Pac Private Events/Wedding sx,728x90,2,32,0,32
dbm video sx,970x250,1278,2409,418,1991
mogo marks lal (purchase) platinum sx,160x600,131,1152,46,1106
mogo marks xsl_74205 sx ,728x90,1247,4074,226,3848
ttd kids sx,970x90,0,1,0,1
/All Apps/Apple App Store/Games/Sports,300x600,7,1,1,0
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,320x100,110,237,42,195
DO NOT USE Tier 3* (CHANNEL) (2),970x250,5,13,1,12
mogo marks opera sx,728x90,1,1,0,1
mogo marks seattle sx,300x600,15,17,4,13
ttd tech sx,250x250,1,0,0,0
Belmont Sitelist v1,300x600,228,479,192,287
DO NOT USE Tier 1,300x250,9630,31392,2999,28393
DO NOT USE Tier 3,250x250,0,9,0,9
Western Black sx,300x600,7,549,4,545
/All Apps/Google Play/Tools,300x50,6,0,0,0
Duxiana Broadcast blacklist,320x50,2,0,0,0
mogo marks natl cat-aff-im sx 3,300x600,317,1493,147,1346
mogo marks sports sx,320x50,814,902,147,755
Android Top Selling Free Music and Audio,300x600,71,12,11,1
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,728x90,3503,14226,913,13313
mogo marks kpi achievers sx,336x280,0,1,0,1
mogo marks playbill sx x3e,160x600,7,22,0,22
mogo sports sx,970x90,1,1,0,1
/All Apps/Apple App Store/Shopping,728x90,1,0,0,0
/All Apps/Google Play/Games/Trivia,300x50,1,0,0,0
BBB perf arts 5 black sx,320x50,8,49,3,46
mogo marks lal branding (All) gold sx,970x250,841,2230,364,1866
mogo marks perf arts silver sx,320x50,328,1372,135,1237
mogo marks perf arts silver sx,728x90,78,593,30,563
mogo marks xsl_74205 sx ,336x280,0,2,0,2
ttd family parent sx,200x200,0,1,0,1
DO NOT USE Mobile - MoPub - Games/Computer & Video Games/Music & Dance Games,728x90,4,0,0,0
ttd shopping sx,250x250,1,1,0,1
/All Apps/Google Play,300x50,111,8,4,4
DO NOT USE Mobile - MoPub - Online Communities,300x250,14,1,1,0
NYPR whitelist sx (Advertiser Level),300x250,0,5,0,5
Performing Arts Fort Worth sx,320x50,144,248,86,162
mogo marks branding comp rate silver video sx,970x250,1272,2072,364,1708
mogo marks branding drhbx silver sx,970x250,1427,3304,606,2698
mogo marks dallas sx,160x600,0,4,0,4
mogo marks natl cat-aff-im sx 2,320x50,4318,4495,1256,3239
/All Apps/Apple App Store/Lifestyle,320x50,499,17,2,15
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,320x100,89,209,38,171
Mogo DBM basic video sx,320x100,2,0,0,0
mogo marks agg sx xsl37589,320x50,32967,46854,11665,35189
mogo marks native medium reach tail aggregate sx,970x250,1687,3405,567,2838
mogo marks opera sx,300x250,2,8,1,7
mogo marks pav kpi sx 3,970x90,1,4,0,4
mogo marks perf arts branding high reach sx,320x100,0,18,0,18
mogo marks video sx xsl44760 class a,320x50,44,171,21,150
ttd travel sx,970x90,3,0,0,0
Diablo DVC Shortlist (Advertiser Level),300x50,36,3306,56,3250
Duxiana - Underperformance Blacklist,320x50,253,17,10,7
mogo marks wine sx,300x600,1,8,0,8
mogo marks xsl66781 sx,250x250,0,2,0,2
mogo marks xsl_800p sx,300x50,162,5980,134,5846
/All Apps/Apple App Store/News,300x250,1198,47,30,17
/All Apps/Apple App Store/Weather,300x50,10,0,0,0
kid safe sx,320x50,3836,3990,944,3046
mogo marks hq100p sx,250x250,0,2,0,2
mogo marks natl cat-aff-im sx 2,728x90,426,3421,169,3252
mogo marks t1 brand kpi sx x8t,160x600,71,505,23,482
mogo marks xsl_74205 sx ,300x250,5471,15860,1619,14241
sfoc mogo youtube sx,Unknown,8,4,0,4
DO NOT USE Tier 1,970x250,1541,2847,503,2344
Pac Private Events/Wedding sx,300x250,19,112,4,108
mogo marks branding tier 2 sx xls37852,250x250,3,5,0,5
mogo marks perf arts sx 5 epx1,728x90,131,626,45,581
mogo marks video branding medium reach tail aggregate sx,320x50,25792,34663,9627,25036
sfoc cix sx,320x50,0,16,0,16
ttd music sx,320x50,804,625,271,354
/All Apps/Apple App Store/Utilities,300x250,15,1,1,0
/All Apps/Google Play/Games/Puzzle,160x600,1,0,0,0
Belmont Sitelist v1,160x600,52,123,49,74
DO NOT USE Tier 2,728x90,901,7652,322,7330
PAC Singapore sx,320x50,23,22,0,22
mogo marks agg sx xsl37589,Unknown,575,35,0,35
mogo marks branding comp rate gold video sx,728x90,2186,7723,669,7054
mogo marks broadway sx,300x50,0,8,0,8
mogo marks perf arts sx 11,320x100,1,4,0,4
mogo marks video branding extended reach tail aggregate sx,160x600,2425,8169,664,7505
ttd sports sx,300x50,18,92,7,85
/All Apps/Apple App Store/Games/Educational,320x50,12,0,0,0
/All Apps/Google Play/Games/Action,728x90,1,0,0,0
mogo biz-fi sx,300x50,7,114,2,112
mogo marks t1 brand kpi sx x8t,336x280,0,1,0,1
ttd travel sx,300x250,262,1942,116,1826
/All Apps/Apple App Store/Games/Family,300x600,22,1,1,0
/All Apps/Apple App Store/Games/Word,320x50,99,12,2,10
Mogo DBM premium video sx,970x250,1268,2391,416,1975
arizona opera top converters sx,300x600,6,15,4,11
mogo marks bwwpb sx,300x50,0,2,0,2
mogo marks houston sx,300x600,14,12,1,11
mogo mba tier 2 sx,970x90,1,2,0,2
Chicago T1 sites,728x90,15,31,11,20
mogo marks branding tier 3 sx xls37852,320x50,6740,11873,4174,7699
mogo marks email sx,728x90,62,89,14,75
mogo marks ttd obx kitchen premium sink sx,320x100,116,206,45,161
/All Apps/Google Play/Games/Racing,970x250,1,0,0,0
PAC Singapore sx,728x90,5,6,0,6
mogo marks branding comp rate silver video sx,468x60,0,1,0,1
mogo marks perf arts sx 6,320x100,1,4,0,4
/All Apps/Google Play/Music & Audio,320x50,390,39,17,22
Android Top Selling Free Music and Audio,336x280,4,3,3,0
mogo marks jazz & blues sx,970x250,0,2,0,2
mogo marks native sx xsl1045 class a,728x90,1015,2665,110,2555
DO NOT USE Invite December Brand Safe List,300x600,2772,9382,872,8510
mogo marks native sx xsl1045 class c,160x600,140,924,29,895
mogo marks pav kpi sx,300x600,72,225,31,194
ttd kids sx,300x600,27,84,12,72
/All Apps/Apple App Store/Navigation,320x50,66,2,0,2
RCU Blacklist Sites (CPA),160x600,3,3,0,3
mogo marks perf arts gold sx,970x250,47,182,61,121
sfoc stratford hqcat sx,300x250,54,722,49,673
ttd health wellness sx,970x90,2,2,0,2
/All Apps/Apple App Store/Sports,728x90,38,1,0,1
/All Apps/Google Play/Books & Reference,728x90,2,0,0,0
/All Apps/Google Play/Music & Audio,728x90,4,0,0,0
5a kpi sx,970x250,0,13,0,13
Brandcast Blacklist ,320x50,463,1040,110,930
DO NOT USE Rubicon,300x600,87,400,30,370
mogo financial services kpi sx,970x250,432,519,57,462
mogo marks branding max reach sx,970x90,35,40,1,39
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,160x600,2990,11171,868,10303
DSM African American sx,300x250,0,3,0,3
mogo marks denver sx,320x50,196,480,53,427
/All Apps/Apple App Store/Reference,728x90,43,1,1,0
mogo marks wedding sx,320x50,4,7,0,7
sfoc pslx 2018 sx (Jun_2018),160x600,101,520,59,461
Android Top Selling Free Business,300x600,1,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,300x100,1,0,0,0
DCPA video local sx,300x250,6,10,1,9
Provident High CTR List ,320x50,119,2,0,2
mogo marks native (sharethrough) unique can sx,250x250,2,1,0,1
mogo marks natl elite cat-aff-im sx,336x280,0,1,0,1
mogo marks xsl66781 sx,300x600,1066,4784,436,4348
mogo marks chicago sx,300x50,0,5,0,5
mogo marks lal (purchase) platinum sx,300x250,825,4904,343,4561
mogo marks pav kpi hx,320x50,3555,4061,904,3157
mogo marks t1 brand kpi sx x8t,728x90,443,2918,177,2741
/All Apps,970x90,1,0,0,0
DO NOT USE Invite December Brand Safe List,320x100,64,93,30,63
Fan Extender IMG/Sidearm Blacklist,728x90,0,1,0,1
mogo black sx,320x50,738,525,67,458
mogo canada t1 sx,970x250,1027,1702,283,1419
mogo centro sx US (2014),728x90,879,3174,355,2819
mogo cult soph sx,970x250,759,1660,295,1365
mogo marks dallas sx,320x50,315,653,160,493
mogo marks hq100p sx,300x600,1887,6132,657,5475
ttd kids sx,320x100,15,12,7,5
/All Apps/Google Play/Productivity,300x600,28,3,2,1
DO NOT USE Tier 3,200x200,0,2,0,2
mogo marks bay area sx,300x600,79,311,33,278
mogo marks branding tier 2 sx xls37852,300x600,3067,11819,1093,10726
mogo marks visual arts sx,300x600,14,1,1,0
/All Apps/Google Play/Games/Casual,300x600,117,25,22,3
Android Top Selling Free Photography,300x600,196,89,82,7
DO NOT USE Tier 3,160x600,1766,6723,429,6294
mogo marks broadwayworld sx,160x600,48,363,22,341
Android Movers and Shakers,300x600,28,5,1,4
DO NOT USE Tier 1* (CHANNEL),336x280,2,24,1,23
Pac Fox Atlanta EXCLUSION List,300x600,7,15,3,12
allan- UOC  high click rate /  converter list ,300x600,0,4,0,4
mogo marks natl cat-aff-im sx 3,320x50,2684,2347,713,1634
mogo marks xsl_74205 sx ,250x250,0,2,0,2
mogo mba tier 1 sx,970x250,12,66,1,65
pac canada sports sx,160x600,33,76,3,73
mogo marks lal (purchase) gold sx,320x100,18,45,9,36
mogo marks natl cat-aff-im sx 3,728x90,280,2614,112,2502
/All Apps/Apple App Store/Games/Role Playing,300x600,1,0,0,0
/All Apps/Google Play/Personalization,300x600,1,0,0,0
DO NOT USE Tier 3 (2),300x600,125,516,51,465
Diablo DVC Shortlist (Advertiser Level),300x250,30,7644,113,7531
Western Black sx,320x50,98,931,29,902
mogo biz-fi sx,970x90,1,2,0,2
mogo financial services kpi sx,300x50,13,353,14,339
mogo marks branding drhbx gold sx,336x280,2,9,1,8
mogo marks xsl_800p sx,300x250,14196,51379,4314,47065
/All Apps/Google Play,300x250,2628,757,620,137
Belmont Sitelist v1,320x50,13,21,3,18
mogo black rt sx,300x250,2,8,0,8
mogo marks lal (purchase) silver sx,300x600,3060,15207,1161,14046
mogo marks lal branding (All) platinum sx,300x600,619,2170,177,1993
mogo universal rt+ob black sx,728x90,5,4,1,3
sfoc kpi sx (acquisition 2019),300x250,31,725,33,692
DO NOT USE Tier 1* (CHANNEL),300x250,9630,31392,2999,28393
DO NOT USE fgu test public channel,970x250,123,183,39,144
Lynn Undergrad,160x600,24,250,7,243
dbm native sx (adx),300x600,1203,3477,384,3093
dbm video sx,320x100,36,45,16,29
ttd beauty sx,300x50,0,4,0,4
/All Apps/Apple App Store/News,728x90,210,12,7,5
/All Apps/Apple App Store/Photo & Video,300x600,4,0,0,0
/All Apps/Google Play/Games/Simulation,300x250,24,1,1,0
DCPA display local sx,970x250,1,1,1,0
DO NOT USE Tier 3,970x90,15,11,0,11
mogo marks bay area sx,160x600,5,25,6,19
mogo marks native sx xsl1045 class c,320x100,33,47,18,29
ttd finance sx,320x100,6,3,2,1
mogo marks seattle sx,300x250,75,117,8,109
mogo marks wine sx,320x50,35,219,10,209
mogo marks xsl_800p sx,200x200,0,3,0,3
mogo mba tier 2 sx,300x50,22,384,11,373
/All Apps,728x90,3530,290,266,24
/All Apps/Apple App Store/Education,300x600,18,0,0,0
/All Apps/Apple App Store/Games/Sports,300x250,1,0,0,0
DO NOT USE Tier 3* (CHANNEL) (2),320x100,4,14,3,11
magic theatre top performing sx,320x50,404,292,257,35
mogo marks native standard reach (no) tail aggregate sx,160x600,1029,6400,299,6101
mogo marks natl canada cat-aff-im sx,300x600,177,1049,105,944
mogo marks video branding max reach tail aggregate sx,970x250,1986,3763,666,3097
ttd spanish sx,160x600,11,11,2,9
/All Apps/Google Play/Travel & Local,300x600,2,0,0,0
mogo marks xsl66781 sx,160x600,185,1080,62,1018
ocfta local madison sx,160x600,0,17,0,17
/All Apps/Apple App Store/Navigation,300x50,3,0,0,0
Channel of Top non-US Sites for Nielsen Display Ads - DO NOT EDIT,728x90,4408,20070,1093,18977
Duxiana - Longtail Blacklist,160x600,17,0,0,0
Mercury Theater Chicago sx,728x90,84,83,76,7
mogo lydia peacecenter test,728x90,1679,4452,379,4073
ttd education sx,336x280,2,1,1,0
/All Apps/Google Play/Education,320x50,52,8,7,1
mogo marks lal branding (All) silver sx,200x200,0,1,0,1
ttd weather sx,320x50,3190,3516,3015,501
/All Apps/Google Play/Finance,320x50,27,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,970x90,25,30,0,30
mogo marks high intenders sx,250x250,0,2,0,2
mogo marks pav kpi sx 2,320x50,1609,3099,577,2522
ttd news sx,300x600,1716,4478,584,3894
/All Apps/Google Play/Games,970x250,5,1,1,0
Android Top Selling Free Game,300x250,102,24,24,0
fgu test public channel,970x250,123,183,39,144
mogo marks xsl_74205 (4p dims) sx ,970x250,629,1763,317,1446
/All Apps/Google Play/News & Magazines,300x50,6,0,0,0
mogo marks kpi mdx sx xls9297,300x250,2502,7804,872,6932
mogo marks natl cat-aff-im sx 3,320x100,0,4,0,4
mogo marks video sx xsl44760 class a,160x600,167,137,63,74
DO NOT USE Tier 3* (CHANNEL) (2),336x280,0,6,0,6
mogo marks outbound kpi sx x1a,300x600,364,554,116,438
mogo universal rt+ob black sx,300x600,3,13,3,10
ttd family parent sx,970x250,83,50,17,33
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,250x250,10,9,0,9
Mogo DBM basic video sx,250x250,0,1,0,1
at atlanta sx,728x90,3,24,4,20
mogo marks branding tier 2 sx xls37852,320x100,86,154,39,115
mogo marks perf arts sx 2,970x90,1,3,0,3
sfoc hqcat black hx,300x600,3,59,2,57
ttd finance sx,336x280,0,1,0,1
CST KPI List,160x600,3,6,1,5
DO NOT USE OAM UK,300x600,157,220,25,195
dbm video sx,336x280,0,1,0,1
mogo marks broadway sx,160x600,75,562,28,534
mogo marks hq100p sx,320x100,50,115,24,91
mogo marks lal branding (All) gold sx,728x90,1929,16571,625,15946
mogo marks native sx xsl1045 class c,336x280,2,3,0,3
pac esports sx,300x250,349,2122,63,2059
mogo marks native standard reach (no) tail aggregate sx,320x100,81,119,40,79
mogo marks xsl_ks0001 sx,970x90,23,18,1,17
mogo mba tier 2 sx,320x50,1276,2226,470,1756
sfoc 2018 marks stratford premium sx,970x250,67,372,61,311
sfoc marks lal custom sx,160x600,5,15,3,12
Mogo DBM select video sx,970x250,10,18,2,16
Portland Center Stage KPI sx,728x90,2,7,2,5
mogo marks native high reach tail aggregate sx,300x100,1,0,0,0
mogo marks native sx xsl1045 class b,160x600,31,279,5,274
mogo marks xsl66781 sx,320x100,12,31,8,23
ttd beauty sx,320x50,3,4,1,3
ttd food sx,970x90,2,4,0,4
/All Apps/Google Play/Lifestyle,728x90,6,0,0,0
Android Top Selling Free News and Magazines,300x250,769,155,86,69
ttd music sx,970x250,25,40,26,14
/All Apps/Apple App Store/Music,300x600,3,0,0,0
kid safe sx,970x250,631,556,145,411
mogo marks agg sx xsl37589,970x250,2128,4070,702,3368
mogo marks lal branding (All) gold sx,250x250,0,6,0,6
mogo marks perf arts gold sx,320x50,193,982,95,887
mogo marks xsl_ks0001 sx,Unknown,575,35,0,35
sfoc marks kpi sx (062018),300x250,22,406,23,383
/All Apps/Apple App Store/Productivity,320x50,78,1,1,0
mogo financial services kpi sx,320x50,3073,2236,746,1490
mogo marks shakespeare sx,300x600,1,0,0,0
mogo marks video branding extended reach tail aggregate sx,200x200,0,1,0,1
/All Apps/Apple App Store/Lifestyle,728x90,78,4,3,1
Duxiana- Bad Site List(Allan) ,300x600,12,1,0,1
Provident High CTR List ,160x600,1,0,0,0
Stratford Black RT SX,300x250,0,3,0,3
mogo marks branding drhbx platinum sx,970x250,439,1097,191,906
mogo marks high intenders sx,300x250,346,1714,119,1595
mogo marks jazz & blues sx,320x50,42,339,39,300
mogo marks video branding medium reach tail aggregate sx,970x250,1866,3503,585,2918
mogo marks video sx xsl44760 class b,300x600,760,1750,251,1499
sfoc cix sx,970x250,0,23,0,23
zt local austin sx,300x250,19,127,19,108
/All Apps/Apple App Store/Games/Card,728x90,803,72,68,4
Duxiana - Underperformance Blacklist,970x250,73,1,1,0
mogo black sx,160x600,318,382,75,307
mogo marks natl cat-aff-im sx 2,970x250,803,2062,398,1664
/All Apps/Apple App Store/Games/Puzzle,728x90,1831,170,163,7
Arvada local sx,728x90,0,18,0,18
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,300x600,2621,11337,852,10485
mogo marks bay area sx,300x50,4,47,0,47
mogo marks lal branding (All) silver sx,160x600,1510,12784,509,12275
mogo marks pav kpi hx,970x250,626,1679,274,1405
/All Apps/Apple App Store/Health & Fitness,300x250,8,0,0,0
Channel of Top US Sites for Nielsen Video Ads - DO NOT EDIT,320x50,31691,40298,11207,29091
mogo marks bw-theatre sx,300x600,2,4,1,3
mogo marks wedding sx,970x250,1,0,0,0
mogo marks xsl66781 sx,300x50,16,453,18,435
mogo marks xsl_74205 (2p dims) sx ,160x600,478,2072,126,1946
pac motorsports sx,970x250,114,158,31,127
ttd food sx,320x100,18,48,9,39
ttd health sx,728x90,110,1399,39,1360
/All Apps/Apple App Store/Games/Simulation,728x90,38,0,0,0
DO NOT USE Tier 3,336x280,11,58,3,55
Lynn DMAC,300x250,33,160,18,142
mogo marks native standard reach (no) tail aggregate sx,300x50,96,3186,82,3104
mogo marks outbound kpi sx x1a,160x600,87,735,31,704
pac esports sx,Unknown,575,35,0,35
ttd male sx,300x250,471,1724,172,1552
/All Apps/Apple App Store/Entertainment,728x90,2764,258,244,14
Android Top Selling Free Education,728x90,1,0,0,0
mogo marks branding comp rate platinum video sx,728x90,1396,3300,301,2999
mogo marks high intenders sx,970x90,1,0,0,0
mogo marks travel sx,728x90,310,536,17,519
/All Apps/Apple App Store/Games,320x50,845,35,20,15
mogo marks broadwayworld sx,336x280,0,1,0,1
sfoc pslx 2018 sx (Jun_2018_Archived),300x250,288,3866,255,3611
ttd sports sx,300x250,561,1623,122,1501
/All Apps/Google Play/Games/Sports,300x250,2,0,0,0
DO NOT USE AppNexus - Collective Media,320x100,38,32,17,15
Mogo DBM basic video sx,300x250,199,574,45,529
mogo biz-fi sx,320x100,2,0,0,0
mogo t1 brand sx,970x90,11,4,0,4
ttd male sx,970x250,78,108,26,82
DO NOT USE Tier 3 (2),160x600,197,633,45,588
mogo marks branding comp rate silver video sx,300x600,2172,5434,734,4700
mogo marks branding drhbx silver sx,300x600,3716,14954,1395,13559
mogo marks video branding max reach tail aggregate sx,468x60,1,3,0,3
provident shortlist ,320x100,87,124,40,84
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,300x250,15918,47844,4310,43534
Performing Arts Fort Worth Top sx,300x250,33,128,12,116
mogo marks branding max reach sx,300x50,292,9823,226,9597
mogo marks bwwpb sx,320x100,0,4,0,4
mogo marks native medium reach tail aggregate sx,300x600,3252,13999,1148,12851
mogo marks ttd obx kitchen premium sink sx,970x90,23,18,1,17
sfoc pslx 2018 sx (Jun_2018_Archived),970x250,73,377,64,313
ttd sports sx,970x250,77,176,20,156
/All Apps/Apple App Store/Games/Strategy,300x600,3,2,1,1
/All Apps/Apple App Store/Social Networking,300x600,10,1,1,0
/All Apps/Google Play/Games/Arcade,320x50,39,6,6,0
Pac Fox Atlanta EXCLUSION List,160x600,0,6,0,6
mogo marks denver sx,160x600,1,29,0,29
mogo marks lal branding (All) silver sx,970x90,20,19,0,19
mogo marks xsl_74205 (2p dims) sx ,970x90,2,4,0,4
ttd auto sx,300x250,55,245,5,240
ttd health wellness sx,300x50,15,994,26,968
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,320x50,32898,41056,11107,29949
DO NOT USE Mobile - MoPub - Jobs & Education,300x250,1,0,0,0
mogo cult soph sx,250x250,1,1,0,1
mogo marks branding tier 3 sx xls37852,336x280,0,2,0,2
mogo marks detroit sx,728x90,62,63,47,16
mogo marks lal (purchase) gold sx,300x50,51,1795,47,1748
/All Apps/Apple App Store/Games/Board,300x250,307,13,13,0
mogo marks agg sx xsl37589,300x100,1,0,0,0
mogo marks branding max reach sx,300x250,19477,71648,5761,65887
mogo marks native standard reach (no) tail aggregate sx,970x250,1566,2982,508,2474
mogo marks seattle sx,970x90,0,1,0,1
mogo CBS Interactive sx,250x250,1,0,0,0
/All Apps/Google Play/Social,320x50,2179,94,76,18
Channel of Top US Sites for Nielsen Display Ads - DO NOT EDIT,728x90,8926,40513,2882,37631
mogo marks native high reach tail aggregate sx,160x600,1920,8346,497,7849
provident shortlist ,728x90,2683,14686,964,13722
5a kpi sx,160x600,5,75,0,75
Duxiana - KPI sx,300x250,116,21,4,17
Stratford KPI revised,300x250,0,186,0,186
mogo marks sacramento sx,300x600,3,3,2,1
Top Performing Sites,728x90,196,99,35,64
mogo marks branding tier 3 sx xls37852,200x200,0,1,0,1
mogo marks houston sx,300x50,0,2,0,2
mogo marks lal (purchase) gold sx,300x600,1518,8312,561,7751
mogo marks lal (purchase) platinum sx,970x250,184,547,98,449
mogo marks natl cat-aff-im sx,160x600,199,1252,65,1187
mogo marks visual arts sx,728x90,5,9,0,9
ttd health wellness sx,300x250,221,1831,68,1763
DO NOT USE Mobile - MoPub - Arts & Entertainment/Entertainment Industry/Recording Industry,300x250,81,3,3,0
DO NOT USE Tier 1,160x600,1040,7786,398,7388
DO NOT USE Tier 3* (CHANNEL),336x280,11,58,3,55
GG KPI sx,300x250,5,9,0,9
mogo marks coupon sx,728x90,2,94,13,81
mogo marks email sx,320x50,3,1,0,1
/All Apps/Google Play/Games/Action,320x50,21,9,9,0
Channel of Top non-US Sites for Nielsen Video Ads - DO NOT EDIT,970x90,9,11,0,11
DO NOT USE Tier 2,320x50,2504,4418,672,3746
dso kpi audx sx,300x250,6,172,5,167
mogo marks branding comp rate gold video sx,320x50,9859,12322,5028,7294
mogo marks lal branding (All) silver sx,728x90,2995,23898,1080,22818
mogo marks pav kpi sx 3,300x250,1290,2837,414,2423
mogo marks perf arts platinum sx,300x50,0,7,0,7
mogo marks perf arts sx 11,970x250,24,130,52,78
mogo marks xsl_ks0001 sx,200x200,0,3,0,3
mogo perf arts sx,728x90,243,1344,92,1252
DO NOT USE Tier 3,468x60,0,3,0,3
mogo marks branding drhbx silver sx,160x600,1157,4831,299,4532
Android Top Selling Free Weather,728x90,11,0,0,0
BR Native sx,300x250,19,85,9,76
Channel of Top Global Sites for Nielsen Video Ads - DO NOT EDIT,300x100,1,0,0,0
mogo marks lal (purchase) silver sx,250x250,2,10,0,10
mogo marks perf arts sx 6,970x250,24,130,52,78
ttd entertainment sx,336x280,2,2,0,2
/All Apps/Google Play/News & Magazines,300x250,836,171,99,72
DO NOT USE AppNexus - Collective Media,300x50,60,1449,67,1382
mogo marks native medium reach tail aggregate sx,160x600,1392,7161,377,6784
mogo sf local sx,970x250,20,42,6,36
mogo t1 brand sx,320x100,39,66,11,55
/All Apps/Apple App Store/Social Networking,300x50,6,0,0,0
/All Apps/Google Play/Games/Trivia,320x50,20,4,2,2
arizona opera top converters sx,970x250,12,26,9,17
mogo lydia peacecenter test,970x90,7,2,0,2
mogo marks branding comp rate silver video sx,300x50,40,1148,33,1115
mogo marks houston sx,970x250,0,1,0,1
mogo marks xsl_74205 (4p dims) sx ,970x90,1,4,0,4
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,200x200,0,3,0,3
Mogo DBM basic video sx,300x50,13,151,11,140
education master sx,728x90,967,4861,352,4509
mogo marks pav kpi hx,250x250,0,3,0,3
ttd news sx,160x600,225,719,70,649
/All Apps/Apple App Store/Games/Dice,320x50,12,0,0,0
fgu test public channel,970x90,3,0,0,0
mogo marks branding increased reach sx,728x90,8543,44296,2868,41428
/All Apps/Apple App Store/Games/Card,300x600,673,49,39,10
DCPA Video black sx,728x90,1,0,0,0
SP News Black sx,300x250,34,241,42,199
finn dallas native sx,160x600,62,124,27,97
sfoc rtx kpi sx,320x50,38,159,21,138
ttd tech sx,728x90,141,563,50,513
/All Apps/Google Play/Lifestyle,300x600,38,5,5,0
mogo marks branding increased reach sx,320x50,34697,48445,12286,36159
mogo marks native medium reach tail aggregate sx,300x50,153,4358,122,4236
ttd auto sx,300x50,1,197,1,196
education master sx,300x250,2118,6279,680,5599
mogo marks bay area sx,728x90,70,595,32,563
mogo marks branding tier 2 sx xls37852,320x50,15526,24799,6784,18015
mogo marks lal (purchase) platinum sx,728x90,490,1879,101,1778
Nashville Symphony black list all adgroups,300x250,3,98,5,93
mogo marks branding comp rate gold video sx,320x100,40,35,16,19
mogo marks branding comp rate platinum video sx,336x280,0,1,0,1
mogo marks cincinnati sx,970x250,1,0,0,0
mogo marks xsl66781 sx,320x50,2356,5866,793,5073
sfoc rtx kpi sx,300x600,3,26,3,23
ttd news sx,250x250,0,3,0,3
ttd tech sx,300x250,332,1117,73,1044
/All Apps/Google Play/Games/Trivia,300x600,20,1,1,0
/All Apps/Google Play/Productivity,320x50,107,6,4,2
mogo marks bay area sx,320x50,385,567,159,408
mogo marks hq100p sx,320x50,8398,15584,4739,10845
mogo marks native standard reach (no) tail aggregate sx,728x90,3408,19356,1040,18316
mogo marks visual arts sx,320x50,45,15,5,10
Android Top Selling Free Business,320x50,13,0,0,0
Channel of Top Global Sites for Nielsen Display Ads - DO NOT EDIT,120x600,1,0,0,0
DO NOT USE Tier 2,320x100,12,12,5,7
ttd female sx,970x90,3,2,0,2
/All Apps/Apple App Store/Games/Dice,300x600,1,0,0,0
/All Apps/Apple App Store/Games/Word,970x250,3,0,0,0
Performing Arts Fort Worth Perf Arts 5 black sx,320x50,12,9,1,8
mogo marks branding tier 3 sx xls37852,970x250,838,2093,388,1705
Android Top Selling Free Books and Reference,320x50,67,19,10,9
mogo marks broadwayworld sx,970x250,15,86,47,39
mogo marks seattle sx,160x600,0,2,0,2
mogo marks native (sharethrough) unique us sx,320x100,10,19,2,17
mogo marks xsl_ks20780 sx,320x50,30577,43074,11026,32048
/All Apps/Apple App Store/Games,300x50,14,0,0,0
PAC Singapore sx,300x250,44,66,0,66
mogo marks perf arts sx 7,320x50,210,1207,107,1100
mogo marks xsl_800p sx,970x90,17,24,0,24
ttd news sx,336x280,0,5,0,5
ttd spanish sx,300x600,11,40,1,39
mogo canada t1 sx,728x90,1581,5015,242,4773
mogo cult soph sx,728x90,875,3957,401,3556
mogo marks email sx,300x250,640,2479,177,2302
mogo marks pav kpi sx,320x100,0,4,0,4
mogo marks phoenix sx,728x90,88,237,51,186
mogo marks t1 brand sx trim,200x200,0,1,0,1
mogo marks video branding max reach tail aggregate sx,970x90,29,24,0,24
ttd female sx,160x600,14,155,3,152
/All Apps/Google Play/Shopping,320x50,21,0,0,0
pac canada sports sx,970x250,103,239,37,202
